certif_name | skills | link
Bioinformatics Specialization | Bioinformatics; Suffix Tree; Unweighted Pair Group Method with Arithmetic Mean (UPGMA); Viterbi Algorithm; Algorithms; Python Programming; Whole Genome Sequencing | https://www.coursera.org/specializations/bioinformatics
Introduction to Big Data | Big Data; Apache Hadoop; Mapreduce; Cloudera | https://www.coursera.org/learn/big-data-introduction
Neural Networks and Deep Learning | Artificial Neural Network; Backpropagation; Python Programming; Deep Learning; Neural Network Architecture | https://www.coursera.org/learn/neural-networks-deep-learning
Algorithms, Part I | Data Structure; Algorithms; Java Programming | https://www.coursera.org/learn/algorithms-part1
Algorithms, Part II | Graphs; Data Structure; Algorithms; Data Compression | https://www.coursera.org/learn/algorithms-part2
IBM Data Management Professional Certificate | Data Management; Data Visualizations; Business Intelligence; Data Architecture; Databases; data visualizations | https://www.coursera.org/professional-certificates/ibm-data-manager
Application Development using Microservices and Serverless | Representational State Transfer (REST); Cloud Applications; Openshift; Microservices; serverless | https://www.coursera.org/learn/applications-development-microservices-serverless-openshift
Introduction to Networking and Cloud Computing | Cloud Computing Security; Network Monitoring; Network Security; Computer Network | https://www.coursera.org/learn/introduction-to-networking-and-cloud-computing
Data Analysis and Visualization Foundations Specialization | Data Analysis; Microsoft Excel; IBM Cognos Analytics; Dashboard; Data Visualization; Data Structure; cognos analytics; Pivot Charts; Data Science; Spreadsheet; Pivot Table | https://www.coursera.org/specializations/data-analysis-visualization-foundations
Introduction to Web Development | Css Code; HTML; Web Development; Cascading Style Sheets (CSS) | https://www.coursera.org/learn/web-development
Natural Language Processing Specialization | Machine Translation; Transformers; Sentiment Analysis; Word2vec; Attention Models | https://www.coursera.org/specializations/natural-language-processing
Generative AI: Introduction and Applications | Artificial Intelligence (AI); ChatGPT; Large Language Models (LLM); Natural Language Generation; Generative AI | https://www.coursera.org/learn/generative-ai-introduction-and-applications
Python for Genomic Data Science | Bioinformatics; Biopython; Python Programming; Genomics | https://www.coursera.org/learn/python-genomics
Relational Database Administration (DBA) | Database Security; Database (DBMS); Database Servers; database administration; Relational Database | https://www.coursera.org/learn/relational-database-administration
Google Data Analytics Professional Certificate | Data Analysis; Creating case studies; Data Visualization; Data Cleansing; Developing a portfolio; Data Collection; Spreadsheet; Metadata; SQL; Data Ethics; Data Aggregation; Data Calculations; R Markdown; R Programming; Rstudio; Tableau Software; Presentation; Data Integrity; Sample Size Determination; Decision-Making; Problem Solving; Questioning | https://www.coursera.org/professional-certificates/google-data-analytics
Machine Learning Specialization | Logistic Regression; Artificial Neural Network; Linear Regression; Decision Trees; Recommender Systems | https://www.coursera.org/specializations/machine-learning-introduction
IBM Introduction to Computer Vision and Image Processing | Image Processing; Artificial Intelligence (AI); Opencv; Computer Vision; Deep Learning | https://www.coursera.org/learn/introduction-computer-vision-watson-opencv
Networking Fundamentals | Network Transmissions and Hardware; Network Architecture; Internet Protocol (IP) Suite; Network Theory; Network Management / Troubleshooting | https://www.coursera.org/learn/akamai-networking
Algorithms for DNA Sequencing | Bioinformatics Algorithms; Algorithms; Python Programming; Algorithms On Strings | https://www.coursera.org/learn/dna-sequencing
Data Visualization with Python | Python Programming; Dashboards and Charts; dash; Data Visualization; Matplotlib | https://www.coursera.org/learn/python-for-data-visualization
Health Informatics Specialization | Informatics; Health Informatics; Data Science; Decision Support System; Health Care | https://www.coursera.org/specializations/health-informatics
Convolutional Neural Networks | Facial Recognition System; Tensorflow; Convolutional Neural Network; Deep Learning; Object Detection and Segmentation | https://www.coursera.org/learn/convolutional-neural-networks
Image Processing for Engineering and Science Specialization | Image Processing; Image Segmentation; Object Detection; Matlab; video processing | https://www.coursera.org/specializations/image-processing
HTML, CSS, and Javascript for Web Developers | HTML; JavaScript; Css Frameworks; Cascading Style Sheets (CSS) | https://www.coursera.org/learn/html-css-javascript-for-web-developers
Fundamentals of Digital Image and Video Processing | Image Processing; Data Compression; Matlab | https://www.coursera.org/learn/digital
Graph Analytics for Big Data | Graph Theory; Neo4j; Analytics; Graph Database | https://www.coursera.org/learn/big-data-graph-analytics
Cloud Computing Foundations | Github; Cloud Computing; Devops | https://www.coursera.org/learn/cloud-computing-foundations-duke
Social Network Analysis | Social Theory Application; Network Construction; Data Analysis in R; Statistical Modeling; Centrality Analysis | https://www.coursera.org/learn/social-network-analysis2
Generative Adversarial Networks (GANs) Specialization | glossary of computer graphics; Generator; Image-to-Image Translation; Generative Adversarial Networks; Discriminator | https://www.coursera.org/specializations/generative-adversarial-networks-gans
IBM Data Science Professional Certificate | Generative AI; Data Science | https://www.coursera.org/professional-certificates/ibm-data-science
Genomic Data Science Specialization | Bioinformatics Algorithms; Algorithms; Python Programming; Algorithms On Strings; Bioinformatics; Biopython; Genomics; Statistics; Data Science; Computational Biology; Samtools; Command-Line Interface; Unix; Data Analysis; R Programming; Biostatistics; Bioconductor | https://www.coursera.org/specializations/genomic-data-science
Python for Data Science, AI & Development | Data Science; Data Analysis; Python Programming; Numpy; Pandas | https://www.coursera.org/learn/python-for-applied-data-science-ai
Graph Search, Shortest Paths, and Data Structures | Graphs; Data Structure; Algorithms; Hash Table | https://www.coursera.org/learn/algorithms-graphs-data-structures
Introduction to Web Development with HTML, CSS, JavaScript | Git (Software); HTML; Web Development; JavaScript; Cascading Style Sheets (CSS) | https://www.coursera.org/learn/introduction-to-web-development-with-html-css-javacript
AI for Medicine Specialization | Image Segmentation; Machine Learning; natural language extraction; time-to-event modeling; model interpretation | https://www.coursera.org/specializations/ai-for-medicine
Fundamental Skills in Bioinformatics | Bioinformatics; Python Programming; R Programming | https://www.coursera.org/learn/fundamental-skills-in-bioinformatics
Microsoft Data Visualization Professional Certificate | Extract Transform Load (ETL); Data Visualization; Report and Dashboard Design; Data Analysis; Data Analysis Expressions (DAX) | https://www.coursera.org/professional-certificates/microsoft-data-visualization
Data Science Specialization | Github; Machine Learning; R Programming; Regression Analysis | https://www.coursera.org/specializations/jhu-data-science
IBM AI Developer Professional Certificate | Chatbots Python Programming Artificial Intelligence (AI); Large Language Models (LLM); Machine Learning Natural Language; Processing Data Science Generative AI | https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai
Databases and SQL for Data Science with Python | Python Programming; Cloud Databases; Relational Database Management System (RDBMS); SQL; Jupyter notebooks | https://www.coursera.org/learn/sql-data-science
Knowledge Graphs for RAG | Knowledge Graphs; Cypher; Large Language Models | https://www.coursera.org/projects/knowledge-graphs-rag
Deep Learning Specialization | Recurrent Neural Network; Tensorflow; Convolutional Neural Network; Artificial Neural Network; Transformers | https://www.coursera.org/specializations/deep-learning
Modern Big Data Analysis with SQL Specialization | Big Data; Data Analysis; SQL; Cloud Storage; Cloudera | https://www.coursera.org/specializations/cloudera-big-data-analysis-sql
Google Cloud Database Engineer Specialization | Database (DBMS); Google Cloud Platform; MySQL; Cloud Platforms; Cloud Storage; Node.Js; Cloud Computing Security; Postgresql; cloud sql; Dataflow; Data Management; SQL Operations; Google Compute Engine; Google App Engine (GAE); Cloud Computing; Kubernetes | https://www.coursera.org/specializations/google-cloud-database-engineer
IBM Introduction to Artificial Intelligence (AI) | Generative AI; AI ethics; Natural Language Processing; Machine Learning; Artificial Intelligence | https://www.coursera.org/learn/introduction-to-ai
Algorithmic Thinking (Part 1) | Graph Theory; Algorithms; Python Programming; Graph Algorithms | https://www.coursera.org/learn/algorithmic-thinking-1
Algorithmic Thinking (Part 2) | Algorithms; Python Programming; Algorithmic Efficiency; Dynamic Programming | https://www.coursera.org/learn/algorithmic-thinking-2
Generative AI for Software Development Skill Certificate | Software Engineering; Large Language Models; Software Development; Generative AI; Machine Learning | 
AI For Everyone | Workflow of Machine Learning projects; AI terminology; Workflow of Data Science projects; AI strategy | https://www.coursera.org/professional-certificates/generative-ai-for-software-development
Web Technologies and Security Specialization | Computer Programming; vuejs; JavaScript; Angularjs; Security Strategy | https://www.coursera.org/specializations/codio-web-tech-security
Cloud Computing Specialization | Software-Defined Networking; Distributed Computing; Big Data; Cloud Computing | https://www.coursera.org/specializations/cloud-computing
Data Analysis with Python | Model Selection; Data Analysis; Python Programming; Data Visualization; Predictive Modelling | https://www.coursera.org/learn/data-analysis-with-python
Applied Bioinformatics Specialization | Metabolic Pathway Analysis; Genome Assembly; Phylogenetic Inference; Multiple Sequence Alignment; Genome Annotation; Tree Rooting; Tree Dating | https://www.coursera.org/specializations/applied-bioinformatics
Computer Networks and Network Security | Network Security; Network Configuration; Endpoint Security; Intrusion Detection Systems; Firewall Configuration | https://www.coursera.org/learn/network-security-database-vulnerabilities
Computer Communications Specialization | Open System Interconnection (OSI) | https://www.coursera.org/specializations/computer-communications
AI Foundations for Everyone Specialization | Artificial Intelligence (AI); ChatGPT; Large Language Models (LLM); Natural Language Generation; Generative AI; Customer Service; Chatbot Building; AI ethics; Natural Language Processing; Artificial Intelligence; Machine Learning; Prompt Engineering; prompt patterns | https://www.coursera.org/specializations/ai-foundations-for-everyone
